facility_name,bus_num,gen_id,gen_owner,bus_basekv,criteria_nlo,criteria_nhi,criteria_elo,criteria_ehi,pmin,pmax,qmin,qmax,remote_bus,schdvolt,stat,pout,qout,terminalvolt,remote_voltage,violate
BRANDON,669818,7,18,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,140,-40,88.5,668022,1.04550004,0,0,0,0,1.04550004,
BIRCHTREESVC,669819,1,19,230,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-50,95,669819,1.04007006,0,0,0,0,1.04007006,
PONTONSVC,669820,1,20,230,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-20,150,669820,1.03347003,0,0,0,0,1.04040718,
DORSEY_SYNC,669821,7,21,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-165,300,667035,1.04499996,0,0,0,0,1.04499996,
DORSEY_SYNC,669822,8,21,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-165,300,667035,1.04499996,0,0,0,0,1.04499996,
DORSEY_SYNC,669823,9,21,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-165,300,667035,1.04499996,0,0,0,0,1.04499996,
DORSEY_SYNC,669824,21,21,18.20000076,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-80,160,667035,1.04499996,0,0,0,0,1.04499996,
DORSEY_SYNC,669824,22,21,18.20000076,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-80,160,667035,1.04499996,0,0,0,0,1.04499996,
DORSEY_SYNC,669824,23,21,18.20000076,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-80,160,667035,1.04499996,0,0,0,0,1.04499996,
DORSEY_SYNC,669825,11,21,18.20000076,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-80,160,667035,1.04499996,0,0,0,0,1.04499996,
DORSEY_SYNC,669825,12,21,18.20000076,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-80,160,667035,1.04499996,0,0,0,0,1.04499996,
DORSEY_SYNC,669825,13,21,18.20000076,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-80,160,667035,1.04499996,0,0,0,0,1.04499996,
RIEL_SYNC,669826,1,22,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-125,250,667041,1.04499996,0,0,0,0,1.04499996,
RIEL_SYNC,669827,2,22,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-125,250,667041,1.04499996,0,0,0,0,1.04499996,
RIEL_SYNC,669828,3,22,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-125,250,667041,1.04499996,0,0,0,0,1.04499996,
RIEL_SYNC,669829,4,22,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-125,250,667041,1.04499996,0,0,0,0,1.04499996,
ST.LEON,669830,W1,23,0.60000002,0.94999999,1.04999995,0.89999998,1.10000002,0,120.4499969,-8.96019363,-8.96019363,669830,1,0,0,0,0,0.99772048,
ST.JOSEPH,669831,W1,24,0.69,0.94999999,1.04999995,0.89999998,1.10000002,0,138,-34.79999924,34.79999924,669831,1,0,0,0,0,1,
AWASIS,672104,1,87,0.63,0.89999998,1.10000002,0.89999998,1.10000002,0,10,-7.55999994,7.55999994,672104,1,0,0,0,0,1,
MEDOW,672301,1,63,4.15999985,0.89999998,1.10000002,0.89999998,1.10000002,2,8,-4.07299995,4.1170001,672301,1.02499998,0,0,0,0,1.02499998,
BOUNDARYD,672303,3,51,16,0.89999998,1.10000002,0.89999998,1.10000002,81,147.5,-50,95,672601,1.08800006,0,0,0,0,1.08800006,
BOUNDARYD,672304,4,51,16,0.89999998,1.10000002,0.89999998,1.10000002,81,150,-39,73,672601,1.08800006,0,0,0,0,1.08800006,
BOUNDARYD,672305,5,51,15,0.89999998,1.10000002,0.89999998,1.10000002,81,150,-40,73,672601,1.08800006,0,0,0,0,1.08800006,
BOUNDARYD,672306,6,51,18,0.89999998,1.10000002,0.89999998,1.10000002,160,315,-77,173,672601,1.08800006,0,0,0,0,1.08800006,
POPLAR,672310,1,52,18,0.89999998,1.10000002,0.89999998,1.10000002,160,315,-77.30000305,164,672610,1.09130001,0,0,0,0,1.09130001,
POPLAR,672311,2,52,18,0.89999998,1.10000002,0.89999998,1.10000002,165,315,-77,164,672610,1.09130001,0,0,0,0,1.09130001,
SPY,672314,1,61,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,0,47,-19,45.5,672514,1.02499998,0,0,0,0,1.02499998,
SPY,672315,2,61,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,0,47,-19,45.5,672514,1.02499998,0,0,0,0,1.02499998,
RED,672319,1,77,0.60000002,0.89999998,1.10000002,0.89999998,1.10000002,0,28.9279995,-4.73099995,-4.73099995,672319,1,0,0,0,0,1.01698685,
SHAND,672321,1,53,18,0.89999998,1.10000002,0.89999998,1.10000002,180,305,-52,136,672621,1.09130001,0,0,0,0,1.09130001,
GAIA,672325,1,76,0.40000001,0.89999998,1.10000002,0.89999998,1.10000002,0,20,-15.00000095,15.00000095,672325,1,0,0,0,0,1,
ROC,672326,1,62,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,1.20000005,12,-8,9,672326,1.01999998,0,0,0,0,1.01999998,
